DATETIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
24/12/16 24,0.38484946,0.7266535,0.434796,0.5493549,0.32954296,0.3306817,0.3172744,0.68728316,0.024233453,0.97352695,0.970681,-0.017086625,-0.033165514,0.88889074,0.98394936,-0.014813512,0.029199224,-0.012521356,0.001106486,0.93345886,0.9968192,0.6891508,0.99986535,0.05856615,-0.013092714,0.8361854,0.98659974,0.030740565,-0.016464967,0.7269091,0.9847886,0.1217572,0.303634,0.58946073,0.7905356,0.6545393,0.48278484,0.07954709,0.5307199,0.07984913,0.43199742,0.03329431,0.60401344,1
24/12/16 25,0.021660822,0.68516886,0.5041308,0.63425624,0.68926513,0.76423305,0.52783245,0.7670778,0.031180277,0.98257285,0.98475504,0.037246775,0.024728691,0.9381741,0.99662215,0.020800367,0.020620836,-0.01844188,0.011069903,0.96591276,0.99870515,0.82182133,0.9999532,0.024924435,-0.02699571,0.8861351,0.99563414,-0.03695972,-0.008135482,0.73780227,0.9991578,0.18712382,0.3534234,0.6193067,0.85675174,0.6481948,0.50077444,0.0204132,0.62919533,0.094270304,0.45240933,-0.003089739,0.6131288,1
24/12/16 26,0.27667683,0.58860075,0.6075578,0.5908506,0.6788725,0.7900631,0.60566384,0.80000794,-0.056061108,0.99151313,0.98756516,0.03718036,-0.07910737,0.9766778,0.99960065,-0.058836017,0.01035065,0.08231449,0.049591545,0.9708459,0.99916166,0.85129565,0.9999766,0.030663291,-0.064370304,0.88702214,0.996841,0.041590262,-0.0422136,0.85418636,0.99946916,0.17241523,0.32258454,0.6604881,0.8766945,0.6463237,0.5724371,0.13308822,0.6782738,0.10196962,0.55190605,-0.007953269,0.6209154,1
25/12/16 01,0.3942449,0.8238604,0.49124497,0.61716396,0.3150204,0.4354041,0.44333255,0.7988537,0.018019302,0.9949216,0.9942884,0.025401328,-0.023627356,0.9581292,0.997665,-0.01801207,0.02492259,-0.006775037,0.037537195,0.9869683,0.99983144,0.8193174,0.999997,0.09288918,-0.024326302,0.9064201,0.9967831,-0.018987197,-0.064652026,0.8020696,0.9982171,0.13614146,0.3648669,0.7012509,0.8784302,0.730586,0.5818564,0.093938075,0.60912174,0.04247229,0.48568812,0.07328254,0.72442776,1
24/12/16 27,-0.013642881,0.11404632,0.64906853,0.6165513,0.8758223,0.94918984,0.49869832,0.79231197,0.01883786,0.9805319,0.96757436,0.003930303,-0.03894705,0.96017057,0.99978834,-0.006608447,0.069232054,-0.016602717,0.02997866,0.8714137,0.9873083,0.7568781,0.9994006,-0.00654227,-0.053482484,0.9168091,0.9947283,0.00546472,-0.02584886,0.82152444,0.99938214,0.46823445,0.30506715,0.4471956,0.86742395,0.47855124,0.52874005,0.07013939,0.68372196,0.095382586,0.4297894,-0.008168236,0.3625161,1
24/12/16 28,0.081721604,0.34348297,0.47842634,0.5512113,0.776832,0.8755488,0.49449942,0.7125269,-0.005851475,0.946622,0.9423546,-0.001987105,-0.032583088,0.91463846,0.9977071,-0.0507231,0.03452066,-0.000747055,0.054355484,0.90114033,0.9855823,0.69127023,0.9979569,0.02287853,-0.029762296,0.81269085,0.9873117,0.006378741,-0.022646498,0.72798705,0.998034,0.29700154,0.23593079,0.45637053,0.79124045,0.4936099,0.5043717,0.03741809,0.5819646,0.06808835,0.40737975,-0.02341691,0.43901002,1
24/12/16 29,0.124787256,0.3510586,0.6925185,0.48439685,0.7353362,0.69478184,0.45124242,0.71419686,-0.03887443,0.9812298,0.96641636,0.03495137,-0.023525054,0.92459476,0.99865294,-0.029941631,0.06281338,0.002427945,0.018326925,0.8386319,0.9884513,0.7292024,0.9998785,0.020936294,-0.02634202,0.86843354,0.9865994,0.026824223,-0.000726961,0.8135445,0.9964074,0.08627868,0.25662372,0.46442842,0.82845074,0.5373781,0.46616083,0.10137598,0.52158123,0.10708137,0.44840732,-0.02270437,0.5112552,1
25/12/16 02,0.0256218,-0.054736413,0.66245216,0.6224041,0.92696553,0.9609896,0.46017686,0.75895774,0.04842334,0.96082276,0.943324,0.013916159,-0.06691203,0.91558653,0.99966264,-0.050547298,0.036905147,-0.026861593,0.07372873,0.8127745,0.9590823,0.72670156,0.9986623,-0.0367967,-0.05033629,0.91675067,0.99100786,-0.007917054,-0.07767796,0.8180133,0.9987275,0.56923497,0.26623425,0.37919477,0.8596632,0.45650488,0.50917214,0.092320286,0.6045736,0.10090129,0.4245767,-0.019228673,0.27657142,1
24/12/16 30,0.7208635,0.20373435,0.6129603,0.37966743,0.5287318,0.8737458,0.5738156,0.7981915,0.063795336,0.9939037,0.9923205,-0.003911803,-0.009290569,0.97021353,0.9999255,0.004179929,0.0765141,-0.02301215,-0.00248138,0.91708744,0.9989082,0.76188767,0.99998724,0.01867716,-0.04954098,0.94632965,0.99738723,-0.07775416,-0.077025175,0.8621117,0.971362,0.4384974,0.3838242,0.45016405,0.8835115,0.41150576,0.49635267,0.12250504,0.6824716,0.14427613,0.4547883,0.05721512,0.48176816,1
24/12/16 31,0.27090168,0.34681273,0.42921782,0.45140085,0.69316065,0.8828091,0.54913366,0.78188676,-0.011678156,0.98681223,0.99062634,0.021316458,-0.03787453,0.98479337,0.99984026,-0.010345242,0.002047733,0.042008873,0.03567425,0.9624363,0.9992359,0.8132444,0.9998725,0.055463213,-0.04727852,0.90371203,0.99578905,-0.000265921,-0.052355792,0.7714526,0.99592876,0.24279751,0.34014767,0.50889915,0.82899165,0.5308505,0.53961766,0.058462083,0.58859277,0.1311146,0.3790913,-0.016690923,0.5165729,1
